product_id,order_count,units_sold,sales_value,cum_pct,abc_class,velocity_rank,sku_code,product_name,category,subcategory,brand,unit_price,unit_weight_kg,shelf_life_days,unit_cost,store_id,location_id,aisle_id,shelf_id,rack_position,zone,distance_from_packing_m,velocity_score,distance_score,optimization_score,proposed_distance_m,distance_saved_m,estimated_minutes_saved_per_pick
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6,106,2501,A06,S07,R03,Snacks,31.25,1.0,0.7445794615201334,0.8978317846080534,18.75,12.5,0.17361111111111113
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6,108,3501,A03,S04,R01,Snacks,26.15,1.0,0.6230640934000476,0.8492256373600191,15.689999999999998,10.46,0.1452777777777778
10002,1236,1753,118678.1,7.166063306414183,A,2.0,SKU10002,Frozen Snacks 0002,Frozen,Frozen Snacks,Tata,67.7,4.468,73,47.84,102,502,A03,S06,R03,Frozen,28.94,0.8319886093972473,0.6895401477245652,0.7750092247281745,17.364,11.576,0.1607777777777778
10002,1236,1753,118678.1,7.166063306414183,A,2.0,SKU10002,Frozen Snacks 0002,Frozen,Frozen Snacks,Tata,67.7,4.468,73,47.84,104,1502,A09,S02,R01,Frozen,27.65,0.8319886093972473,0.658803907553014,0.7627147286595539,16.59,11.059999999999999,0.15361111111111111
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6,102,501,A01,S05,R02,Snacks,16.96,1.0,0.40409816535620685,0.7616392661424827,10.176,6.784000000000001,0.09422222222222223
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6,109,4001,A06,S06,R03,Snacks,15.69,1.0,0.3738384560400286,0.7495353824160114,9.414,6.276,0.08716666666666667
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6,105,2001,A06,S03,R02,Snacks,15.17,1.0,0.3614486538003336,0.7445794615201334,9.102,6.068,0.08427777777777777
10003,1210,1675,59747.25,10.275689223057643,A,3.0,SKU10003,Cleaner 0003,Household,Cleaner,Dove,35.67,3.761,145,27.08,106,2503,A08,S04,R02,Household,27.37,0.794969150450878,0.6521324755777937,0.7378344805016444,16.422,10.948,0.15205555555555558
10003,1210,1675,59747.25,10.275689223057643,A,3.0,SKU10003,Cleaner 0003,Household,Cleaner,Dove,35.67,3.761,145,27.08,104,1503,A12,S02,R01,Household,26.61,0.794969150450878,0.634024303073624,0.7305912114999764,15.966,10.644,0.14783333333333334
10001,1497,2107,77916.86,3.911630929174789,A,1.0,SKU10001,Namkeen 0001,Snacks,Namkeen,Local,36.98,2.276,104,28.6,101,1,A08,S03,R02,Snacks,13.69,1.0,0.32618537050274005,0.730474148201096,8.213999999999999,5.476000000000001,0.07605555555555557
